Name,Downloads
obligator,2730
email-block-plugin,2729
mermaid-themes,2721
obsidian-daf-yomi,2707
mdx-as-md-obsidian,2693
hard-breaks,2690
obsidian-project-garden,2688
obsidian-badge,2680
obsidian-hyphenation,2677
double-colon-conceal,2671
ticktick,2668
obsidian-dirtreeist,2666
badges,2665
chat-stream,2661
link-with-alias,2658
postgresql-obsidian,2657
open-files-with-commands,2655
bbawj-semantic-search,2641
obsidian-activity-logger,2638
obsidian-new-bullet-with-time,2636
todo-sort,2634
obsidian-relation-pane,2600
ai-research-assistant,2598
ozanshare-publish,2590
typst,2590
ketcher,2588
gpt-liteinquirer,2580
onyx-boox-extractor,2577
scrybble.ink,2577
simple-note-quiz,2574
linked-data-vocabularies,2568
obsidian-expand-bullet,2560
obsidian-plugin-time-diff,2559
edit-history,2556
inbox,2555
arcana,2547
apple-books-highlights,2546
koncham-workspace,2541
background-image,2541
crumbs-obsidian,2530
better-mathjax,2511
jelly-snippets,2493
movie-obsidian,2478
ai-mentor,2476
qatt,2476
emo-uploader,2474
style-text,2474
obsidian-overdue,2466
obsidian-awesome-flashcard,2463
obsidian-min-width,2459
obsidian-random-todo,2458
insert-heading-link,2456
obsidian-key-sequence-shortcut,2446
obsidian-group-snippets,2445
obsidian-static-file-server,2439
microblog-publish-plugin,2437
obsidian-sakana-widget,2435
image-ocr,2430
obsidian-furigana,2429
update-relative-links,2429
obsidian-paper-cut,2424
imdone-obsidian-plugin,2417
flashcard-learning,2414
workbooks,2413
import-foundry,2404
obsidian-stylist,2392
obsidian-review-notes-plugin,2388
obsidian-codeblock-labels,2379
image-upload-toolkit,2378
japanese-word-splitter,2375
simple-dice-roller,2367
obsidian-min3ditorhotkeys-plugin,2363
emoji-titler,2358
obsidian-code-preview,2357
obsidian-command-palette-minus-plugin,2355
obsidian-smart-links,2355
flashcards-llm,2337
obsidian-relative-find,2331
chord-lyrics,2330
stenography-obsidian,2323
advanced-random-note,2319
supsub,2309
obsidian-old-note-admonitor,2307
note-aliases,2298
ollama,2298
tasks-packrat-plugin,2292
memos-sync,2283
loom,2278
obsidoom,2277
obsidian-telegraph-publish,2273
obsidian-amazingmarvin-plugin,2272
obsidian-upcoming,2267
double-click-tab,2264
obsidian-go-to-line,2263
braincache,2258
blockquote-levels,2249
draw-harada-method,2243
custom-state-for-task-list,2243
obsidian-dashing-cursor,2241
obsidian-screwdriver,2232
obsidian-theme-toggler,2231
api-request,2222
contextual-comments,2216
obsidian-user-plugins,2212
game-search,2207
tasks-to-omnifocus,2206
obsidian-juliandate,2204
brain,2197
oblogger,2197
fantasy-name,2197
obsidian-to-flomo,2188
obsidian-new-note-new-window,2186
sigma,2175
obsidian-alias-from-heading,2172
obsidian-vega,2169
beeminder-word-count-plugin,2164
obsidian-relativenumber,2161
persistent-links,2158
aw-watcher-obsidian,2156
notes-dater,2148
obsidian-cloudinary-uploader,2145
obsidian-metronome-plugin,2145
13th-age-statblocks,2143
obsidian-mtg,2139
findoc,2137
quote-share,2135
editor-commands-remap,2131
obsidian-koreader-plugin,2130
latex-algorithms,2130
obsidian-chess,2129
quip,2128
obsidian-aggregator,2121
obsidian-stack-overflow,2113
obsidian-wavedrom,2108
cron,2105
obsidian-rant,2099
simple-canvasearch,2088
obsidian-link-opener,2086
netwik,2083
frontmatter-alias-display,2083
adamantine-pick,2082
obsidian-gitlab-issues,2079
obsidian-save-as-gist,2075
obsidian-etherpad-plugin,2074
obsidian-account-linker,2074
chess-study,2072
copilot-auto-completion,2070
obsidian-dynbedded,2065
at-people,2063
air-quotes,2060
graph-nested-tags,2054
copy-inline-code,2052
link-range,2048
mermaid-helper,2042
yet-another-obsidian-synchronizer,2041
tag-many,2036
mini-toolbar,2035
uncheck-all,2034
obsidian-notion-video,2028
brainframe,2025
simple-rss,2024
obsidian-chorded-hotkeys,2004
zotero-sync-client,2001
open-related-url,1996
silicon,1994
obsidian-mark-and-select,1991
markdown-tree,1986
smart-rename,1985
qmd-as-md-obsidian,1981
writing-goals,1979
automatic-list-styles,1975
obsidian-circuitjs,1972
file-chucker,1957
obs-text-wrapper,1955
prioritize,1944
obsidian-hotkeys-chords,1942
obsidian-markdown-file-suffix,1940
linked-data-helper,1940
cycle-in-sidebar,1938
obsidian-vim-multibyte-char-search,1934
console,1934
ini-obsidian,1929
obsidian-open-file-by-magic-date,1926
vika-sync,1924
pinboard-sync,1923
multi-properties,1914
auto-tag,1902
status-bar-quote,1901
meld-build,1897
obsidian-wordnik,1884
media-sync,1884
canvas-randomnote,1879
hugo-preview-obsidian,1875
blur,1874
dendron-tree,1872
confluence-to-obsidian,1871
notes-sync-share,1868
ring-a-secretary,1866
header-enhancer,1866
ai-tools,1865
birthday-tracker,1859
vextab,1858
phone-to-roam-to-obsidian,1857
obsidian-crypto-lookup,1854
s3-image-uploader,1853
obsidian-extlnkhelper-plugin,1847
runjs,1847
obsidian-quran-lookup,1844
reading-view-enhancer,1842
auto-anki,1841
perilous-writing,1838
text2anki-openai,1826
obsidian-attendance,1814
kindle-csv-converter,1805
iconoir-icons,1805
floating-highlights,1803
auto-front-matter,1801
note-archiver,1798
obsidian-autoscroll,1797
smort-obsidian,1789
obsidian-note-content-pusher,1784
incremental-id,1783
bulk-exporter,1783
obsidian-filename-emoji-remover,1782
obsidian-buttondown-plugin,1781
obsidian-handlebars,1777
obsidian-oura-plugin,1775
obsidian-golinks,1771
o2,1770
zettelgpt,1770
checkbox-reorder,1769
mixa,1759
invio,1757
get-stock-information,1756
ai-summary,1752
linkshelf,1737
order-list,1732
flowershow,1726
material-symbols,1721
latex-to-unicode,1717
open-plugin-settings,1712
nai4obsidian,1712
easy-bake,1712
file-include,1709
obsidian-bellboy,1708
vault-name-status-bar,1705
vertical-tabs-view,1703
x86-flow-graphing,1699
cannoli,1697
nifty-links,1695
wielder,1691
blindfold-obsidian,1691
ling-gloss,1689
python-scripter,1689
